#,slug,title_fa,title_en,mood
43,why-quantum-math-works,چرا ریاضیات کوانتوم درست است ولی «فهمش» سخت است,Why Quantum Math Works,purple
44,solar-cells-photoelectric,پنل خورشیدی و اثر فوتوالکتریک؛ تبدیل نور به جریان زندگی,Solar Cells & Photoelectric Effect,orange
45,max-planck-blackbody,پلانک و بحران تابش جسم سیاه؛ جرقه‌ای که فیزیک را متحول کرد,Planck & Blackbody Radiation,orange
46,einstein-bohr-debate,نبرد اینشتین و بور بر سر معنای کوانتوم,Einstein vs. Bohr,orange
47,quantum-learning-resources,منابع معتبر فارسی و انگلیسی برای یادگیری عمیق‌تر کوانتوم,Learning Quantum Physics,blue
48,feynman-quantum-explainer,فاینمن: نابغه‌ای که کوانتوم را ساده توضیح می‌داد,Feynman Explains Quantum,orange
49,schrodinger-life-equation,شرودینگر: زندگی، معادله و گربه‌ای که هرگز نداشت,Schrödinger: Life & Equation,purple
50,forgotten-women-quantum,زنان فراموش‌شدهٔ فیزیک کوانتوم,Forgotten Women of Quantum,orange
51,dirac-antimatter,دیراک و پیش‌بینی پادماده؛ وقتی ریاضیات از واقعیت جلو زد,Dirac & Antimatter,orange
52,entanglement-quantum-computers,درهم‌تنیدگی در کامپیوترهای کوانتومی امروزی,Entanglement in Quantum Computers,blue
53,quantum-sensors,حسگرهای کوانتومی؛ آیندهٔ دقت اندازه‌گیری,Quantum Sensors,blue
54,quantum-fivefold-mental-map,نقشهٔ ذهنی پنج‌گانه برای فهم درست کوانتوم,A Mental Map of Quantum,purple
55,quantum-understanding-achievement,جمع بندی نهایی: چرا «نفهمیدنِ درست» کوانتوم خودش یک دستاورد است؟,Understanding Quantum,purple
56,quantum-analogy-exercise-boundary,تمرین ذهنی: خودتان یک تمثیل بسازید و مرزش را پیدا کنید,Building Quantum Analogies,purple
57,coin-vs-dice-quantum-uncertainty,تمثیل تاس در مقابل تمثیل سکه: کدام برای عدم قطعیت بهتر است؟,Coin vs. Dice,purple
58,quantum-physics-vs-quantum-mechanics,تفاوت فیزیک کوانتوم و مکانیک کوانتومی چیست؟,Quantum Physics vs. Mechanics,blue
59,determinism-vs-probability,تفاوت جبرگرایی کلاسیک و احتمال کوانتومی,Determinism vs. Probability,purple
60,why-large-objects-dont-superpose,برهم‌نهی یعنی چه، و چرا اشیای بزرگ برهم‌نهی نمی‌شوند,Why Big Things Don't Superpose,blue
61,superposition-explained,برهم‌نهی چیست؟ وقتی یک ذره «هم این است هم آن»,Superposition Explained,blue
62,heisenberg-uncertainty-principle,اصل عدم قطعیت هایزنبرگ به زبان ساده,Heisenberg Uncertainty,blue
63,quantum-career-future-learn,آینده شغلی: آیا باید فیزیک کوانتوم یاد بگیریم؟,A Career in Quantum?,blue
64,is-many-worlds-real,آیا کوانتوم یعنی چندجهانی واقعی است؟,Are Many Worlds Real?,purple
65,does-ai-use-quantum,آیا هوش مصنوعی از کوانتوم استفاده می‌کند؟,Does AI Use Quantum?,blue
66,brain-quantum-phenomena,آیا مغز انسان از پدیده‌های کوانتومی استفاده می‌کند؟ (بررسی ادعا‌ها),Quantum in the Brain?,purple
67,quantum-interpretation-debate,آیا فیزیک‌دانان بر سر معنای اندازه‌گیری توافق دارند؟,The Measurement Debate,purple
68,is-classical-physics-wrong,آیا فیزیک کلاسیک اشتباه بود؟ نه، محدود بود,Was Classical Physics Wrong?,orange
69,einstein-photoelectric-effect,اینشتین و اثر فوتوالکتریک (نه فقط نسبیت),Einstein & Photoelectric Effect,orange
70,does-quantum-prove-god,آیا کوانتوم ثابت می‌کند خدا وجود دارد یا ندارد؟,Does Quantum Prove God?,purple
71,entanglement-myths,آیا درهم‌تنیدگی یعنی اطلاعات سریع‌تر از نور منتقل می‌شود؟,Entanglement Myths,purple
72,bell-experiments,آزمایش‌های بل: چگونه درهم‌تنیدگی اثبات شد!,Bell's Experiments,orange
73,mind-quantum-reality,آیا با فکر کردن می‌توان واقعیت کوانتومی را تغییر داد؟,Can Mind Change Reality?,purple
74,quantum-teleportation,تله‌پورت کوانتومی چیست؟,Quantum Teleportation,blue
